feature,importance_mean,importance_std
Days_Past_Due,0.16438,0.01055
Collateral_Value,0.14327,0.0066
Credit_Score,0.07926,0.00572
Outstanding_Loan_Amount,0.07143,0.00863
Monthly_Income,0.04364,0.00422
Loan_Amount,0.03197,0.00729
Monthly_EMI,0.03186,0.00835
Loan_Tenure,0.02736,0.00315
Months_Since_Origination,0.02604,0.00391
Employment_Type,0.02115,0.00276
Previous_Defaults,0.01547,0.00561
Num_Dependents,0.01462,0.00177
Payment_History,0.01155,0.00291
Loan_Type,0.00698,0.00306
Num_Missed_Payments,0.00433,0.00232
Interest_Rate,0.00084,0.00122
Age,-1e-05,0.00053
